Eur Price,Boat Type,Manufacturer,Year Built,Length,Width,Material,Location,Views Last 7 Days,Boat Condition,Engine Type
18125,Pilothouse,Smartliner power boats,2020,6.4,2.25,GRP,Switzerland ,399,new boat on order,nan
18125,Center console boat,Morningstar power boats,2019,5,2,Aluminium,Switzerland ,149,new boat from stock,nan
16061.83,Deck Boat,Yamarin power boats,2020,4,1,nan,Denmark,50,new boat from stock,nan
16000,Sport Boat,Bombardier power boats,1998,7.35,2.6,GRP,Croatia,141,Used boat,Unleaded
16900,Pilothouse,Smartliner power boats,2017,6.45,2.25,PVC,Montenegro,53,Used boat,Unleaded
16900,Cabin Boat,Four Winns power boats,1992,6.3,2.34,GRP,Germany,154,Used boat,Unleaded
16900,Bowrider,Wellcraft power boats,1995,8.53,2.59,nan,France,244,Used boat,Unleaded
16900,Center console boat,Allegra power boats,2019,5.6,2.16,GRP,Italy,107,Used boat,Unleaded
16900,"Cabin Boat,Sport Boat",Fairline power boats,1985,8.04,3.06,GRP,Germany,405,Used boat,Unleaded
16900,Motor Yacht,Jeanneau power boats,2005,7.15,2.59,PVC,France,62,Used boat,nan
16900,Motor Yacht,Jeanneau power boats,2005,7.15,2.59,PVC,France,98,Used boat,Unleaded
16900,Sport Boat,B̩n̩teau power boats,2003,5.47,2.34,PVC,Spain,152,Used boat,Unleaded
16900,Motor Yacht,Moonfleet power boats,,4.8,1.6,nan,Latvia,121,Used boat,nan
19020.83,Bowrider,Bella power boats,2019,5.01,2.01,GRP,Switzerland ,339,Display Model,nan
16870,Sport Boat,Yamarin power boats,2020,5.53,2.24,GRP,Germany,127,new boat from stock,nan
18968.75,Center console boat,Saver power boats,2020,5.83,2.03,GRP,Switzerland ,247,new boat from stock,Unleaded
18958.33,Fishing Boat,Lund Boats power boats,2020,4.95,2.03,Aluminium,Switzerland ,241,new boat from stock,nan
18958.33,Motor Yacht,Mariah power boats,1997,6.5,2.5,Thermoplastic,Switzerland ,331,Used boat,Unleaded
17500,"Classic,Launch",nan,1960,6.85,2.3,Wood,Netherlands,96,Used boat,nan
17500,Deck Boat,Quicksilver power boats,2005,6.22,2.47,PVC,France,144,Used boat,Unleaded
17500,Motor Yacht,nan,1976,10,3.2,Steel,Netherlands,103,Used boat,nan
